EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	19:07:00	0.1000	2.7675	2.2825	0.3226	0.3226	0.3226	0.3226
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	22:01:54	0.1000	2.7410	2.2749	0.4032	0.4032	0.4032	0.4032
2	22:02:16	0.1000	2.1998	2.2430	0.3065	0.3065	0.3065	0.3065
3	22:02:39	0.1000	1.9198	1.8824	0.5161	0.5161	0.5161	0.5161
4	22:03:01	0.1000	1.6181	1.9080	0.4032	0.4032	0.4032	0.4032
5	22:03:24	0.1000	1.3764	1.7313	0.5484	0.5484	0.5484	0.5484
6	22:03:47	0.1000	1.2819	1.7178	0.5645	0.5645	0.5645	0.5645
7	22:04:09	0.1000	1.1338	1.7123	0.5484	0.5484	0.5484	0.5484
8	22:04:32	0.1000	1.0464	1.6410	0.5000	0.5000	0.5000	0.5000
9	22:04:54	0.1000	0.9020	1.5982	0.5484	0.5484	0.5484	0.5484
10	22:05:17	0.1000	0.8484	1.8029	0.5806	0.5806	0.5806	0.5806
11	22:05:40	0.1000	0.8089	1.4966	0.5968	0.5968	0.5968	0.5968
12	22:06:04	0.1000	0.6552	1.6327	0.5161	0.5161	0.5161	0.5161
13	22:06:26	0.1000	0.5610	1.7983	0.5323	0.5323	0.5323	0.5323
14	22:06:48	0.1000	0.6275	1.4183	0.6290	0.6290	0.6290	0.6290
15	22:07:11	0.1000	0.5591	1.7752	0.4677	0.4677	0.4677	0.4677
16	22:07:34	0.1000	0.4963	1.3381	0.5806	0.5806	0.5806	0.5806
17	22:07:56	0.1000	0.4383	1.4565	0.6290	0.6290	0.6290	0.6290
18	22:08:18	0.1000	0.4226	1.6893	0.5484	0.5484	0.5484	0.5484
19	22:08:44	0.1000	0.3992	1.5079	0.5806	0.5806	0.5806	0.5806
20	22:09:07	0.1000	0.3456	1.5149	0.5968	0.5968	0.5968	0.5968
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	22:13:56	0.1000	2.5159	2.1070	0.3721	0.3721	0.3721	0.3721
2	22:14:42	0.1000	1.6571	1.4274	0.6279	0.6279	0.6279	0.6279
3	22:15:28	0.1000	1.1888	1.4796	0.5233	0.5233	0.5233	0.5233
4	22:16:14	0.1000	0.9318	1.1385	0.6512	0.6512	0.6512	0.6512
5	22:17:01	0.1000	0.8113	1.2230	0.6279	0.6279	0.6279	0.6279
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	22:22:50	0.1000	2.4689	2.2248	0.2674	0.2674	0.2674	0.2674
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	22:27:23	0.1000	2.5394	2.4112	0.3140	0.3140	0.3140	0.3140
2	22:28:10	0.1000	1.6441	1.5025	0.5465	0.5465	0.5465	0.5465
3	22:28:54	0.1000	1.2443	1.3072	0.5465	0.5465	0.5465	0.5465
4	22:29:36	0.1000	0.9574	1.3689	0.5465	0.5465	0.5465	0.5465
5	22:30:20	0.1000	0.7901	1.0923	0.7093	0.7093	0.7093	0.7093
